eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
90.09,-2.109999895095825,70.0,0.15163429081439972,0.7047526240348816,2.6392619609832764,0.07175219058990479,0.3746892213821411,0.013905525207519531,1.0,256.0,232.1500412489986,16384.0
88.09,-1.7799999713897705,70.0,0.1503063291311264,0.7022908329963684,2.638312578201294,0.0881727933883667,0.15632878243923187,0.05609208345413208,2.0,512.0,463.35515785904136,32768.0
79.5,-2.0299999713897705,71.0,0.15108005702495575,0.7060750126838684,2.6372339725494385,0.08557308465242386,0.14341630041599274,0.1885685920715332,3.0,768.0,694.0589113429887,49152.0
80.11,-2.3499999046325684,69.0,0.15044455230236053,0.7010498046875,2.6362688541412354,0.09378015995025635,0.13903649151325226,0.30836403369903564,4.0,1024.0,928.6147645780584,65536.0
83.54,-2.7100000381469727,71.0,0.14991559088230133,0.70196533203125,2.6362736225128174,0.08601322770118713,0.15976719558238983,0.3608582615852356,5.0,1280.0,1159.1128853680566,81920.0
79.87,-1.9800000190734863,71.0,0.1520913690328598,0.7007039189338684,2.6332485675811768,0.08155317604541779,0.11395043134689331,0.46774017810821533,6.0,1536.0,1388.3465579269687,98304.0
83.04,-1.6299999952316284,71.0,0.15203894674777985,0.7010294795036316,2.631948709487915,0.08268304169178009,0.13694418966770172,0.46672922372817993,7.0,1792.0,1617.521127991029,114688.0
84.61,-2.049999952316284,71.0,0.15258203446865082,0.70245361328125,2.6303508281707764,0.0870407298207283,0.121317058801651,0.4347897171974182,8.0,2048.0,1846.0944598600036,131072.0
80.03,-1.8200000524520874,71.0,0.15238003432750702,0.6990763545036316,2.6265995502471924,0.0805085152387619,0.11941813677549362,0.4849316477775574,9.0,2304.0,2074.418391652056,147456.0
82.1,-1.4800000190734863,71.0,0.15460282564163208,0.7000529170036316,2.619556427001953,0.08332755416631699,0.0957176461815834,0.5254748463630676,10.0,2560.0,2302.4650397290243,163840.0
78.31,-1.5299999713897705,71.0,0.15382197499275208,0.6944783329963684,2.607318162918091,0.07856294512748718,0.10762182623147964,0.5292611420154572,11.0,2816.0,2531.382101353025,180224.0
81.88,-1.4700000286102295,71.0,0.15935955941677094,0.7038167119026184,2.5957069396972656,0.07763625681400299,0.08713105320930481,0.5326247811317444,12.0,3072.0,2759.5055335740326,196608.0
81.36,-0.9399999976158142,71.0,0.15800298750400543,0.6927083134651184,2.5827579498291016,0.07348936051130295,0.07665590941905975,0.5308530628681183,13.0,3328.0,2987.31083636696,212992.0
79.94,-0.7099999785423279,72.0,0.15931521356105804,0.6925048828125,2.568302869796753,0.07857473939657211,0.07332807779312134,0.5870060920715332,14.0,3584.0,3214.508561720955,229376.0
80.73,-1.2699999809265137,72.0,0.1778850108385086,0.6891276240348816,2.526115894317627,0.07693768292665482,0.07414322346448898,0.6280705034732819,15.0,3840.0,3440.9232045389945,245760.0
84.42,-0.27000001072883606,72.0,0.16012881696224213,0.6807047724723816,2.5134713649749756,0.07312064617872238,0.08872836828231812,0.608139306306839,16.0,4096.0,3666.562160450965,262144.0
81.93,-0.5,72.0,0.16397131979465485,0.67919921875,2.52420973777771,0.07512243837118149,0.09548837691545486,0.5356335639953613,17.0,4352.0,3893.3826453599613,278528.0
81.33,-1.1699999570846558,73.0,nan,0.5099894404411316,nan,nan,nan,0.6095587909221649,18.0,4608.0,4116.510037278989,294912.0
75.01,-1.059999942779541,76.0,nan,0.0,nan,nan,nan,nan,19.0,4864.0,4331.736767204013,311296.0
76.74,-1.2899999618530273,76.0,nan,0.0,nan,nan,nan,nan,20.0,5120.0,4546.238398118992,327680.0
71.55,-1.2599999904632568,77.0,nan,0.0,nan,nan,nan,nan,21.0,5376.0,4758.607365083997,344064.0
76.18,-1.1799999475479126,76.0,nan,0.0,nan,nan,nan,nan,22.0,5632.0,4971.40645463299,360448.0
75.11,-1.2000000476837158,76.0,nan,0.0,nan,nan,nan,nan,23.0,5888.0,5184.530870818999,376832.0
72.82,-1.059999942779541,77.0,nan,0.0,nan,nan,nan,nan,24.0,6144.0,5396.138381195953,393216.0
75.8,-0.9100000262260437,77.0,nan,0.0,nan,nan,nan,nan,25.0,6400.0,5606.937780434964,409600.0
71.77,-0.9200000166893005,77.0,nan,0.0,nan,nan,nan,nan,26.0,6656.0,5817.82130624901,425984.0
73.66,-1.3300000429153442,77.0,nan,0.0,nan,nan,nan,nan,27.0,6912.0,6028.355733550969,442368.0
74.36,-0.6499999761581421,77.0,nan,0.0,nan,nan,nan,nan,28.0,7168.0,6239.061872603954,458752.0
75.23,-1.399999976158142,77.0,nan,0.0,nan,nan,nan,nan,29.0,7424.0,6450.209914547973,475136.0
76.76,-0.9900000095367432,77.0,nan,0.0,nan,nan,nan,nan,30.0,7680.0,6661.542283828021,491520.0
74.48,-1.1399999856948853,77.0,nan,0.0,nan,nan,nan,nan,31.0,7936.0,6872.81409388606,507904.0
72.99,-1.0,78.0,nan,0.0,nan,nan,nan,nan,32.0,8192.0,7082.497025322984,524288.0
74.3,-1.1299999952316284,77.0,nan,0.0,nan,nan,nan,nan,33.0,8448.0,7293.044464224018,540672.0
76.24,-0.9100000262260437,77.0,nan,0.0,nan,nan,nan,nan,34.0,8704.0,7504.424308378948,557056.0
76.5,-0.6700000166893005,77.0,nan,0.0,nan,nan,nan,nan,35.0,8960.0,7715.344521290972,573440.0
75.04,-0.699999988079071,77.0,nan,0.0,nan,nan,nan,nan,36.0,9216.0,7926.921240970027,589824.0
70.79,-1.0,77.0,nan,0.0,nan,nan,nan,nan,37.0,9472.0,8139.060025527026,606208.0
71.72,-1.2799999713897705,77.0,nan,0.0,nan,nan,nan,nan,38.0,9728.0,8351.657964476966,622592.0
75.14,-1.1799999475479126,77.0,nan,0.0,nan,nan,nan,nan,39.0,9984.0,8563.410377145046,638976.0
77.35,-1.1699999570846558,77.0,nan,0.0,nan,nan,nan,nan,40.0,10240.0,8774.374215780059,655360.0
73.41,-0.8299999833106995,78.0,nan,0.0,nan,nan,nan,nan,41.0,10496.0,8984.352149139042,671744.0
77.69,-1.2699999809265137,78.0,nan,0.0,nan,nan,nan,nan,42.0,10752.0,9192.73752135795,688128.0
71.32,-1.2599999904632568,78.0,nan,0.0,nan,nan,nan,nan,43.0,11008.0,9401.288185638026,704512.0
73.61,-0.7200000286102295,78.0,nan,0.0,nan,nan,nan,nan,44.0,11264.0,9610.05539068696,720896.0
75.21,-0.8799999952316284,78.0,nan,0.0,nan,nan,nan,nan,45.0,11520.0,9817.77038687002,737280.0
74.9,-1.309999942779541,78.0,nan,0.0,nan,nan,nan,nan,46.0,11776.0,10026.125587873976,753664.0
71.8,-1.5099999904632568,78.0,nan,0.0,nan,nan,nan,nan,47.0,12032.0,10233.80880454497,770048.0
74.68,-0.8399999737739563,78.0,nan,0.0,nan,nan,nan,nan,48.0,12288.0,10442.425950573059,786432.0
72.44,-0.9599999785423279,78.0,nan,0.0,nan,nan,nan,nan,49.0,12544.0,10651.241488985019,802816.0
72.65,-0.7900000214576721,78.0,nan,0.0,nan,nan,nan,nan,50.0,12800.0,10860.601315574953,819200.0
72.58,-0.5299999713897705,78.0,nan,0.0,nan,nan,nan,nan,51.0,13056.0,11070.432108278037,835584.0
72.05,-0.7699999809265137,77.0,nan,0.0,nan,nan,nan,nan,52.0,13312.0,11280.549712787964,851968.0
75.36,-0.550000011920929,77.0,nan,0.0,nan,nan,nan,nan,53.0,13568.0,11490.61729798303,868352.0
72.97,-0.9100000262260437,77.0,nan,0.0,nan,nan,nan,nan,54.0,13824.0,11702.44729934202,884736.0
75.47,-0.6700000166893005,77.0,nan,0.0,nan,nan,nan,nan,55.0,14080.0,11913.73410271306,901120.0
73.63,-0.7699999809265137,77.0,nan,0.0,nan,nan,nan,nan,56.0,14336.0,12124.608662993996,917504.0
74.76,-0.5899999737739563,77.0,nan,0.0,nan,nan,nan,nan,57.0,14592.0,12334.689480712055,933888.0
74.19,-1.1699999570846558,78.0,nan,0.0,nan,nan,nan,nan,58.0,14848.0,12543.265865982044,950272.0
71.34,-1.2999999523162842,78.0,nan,0.0,nan,nan,nan,nan,59.0,15104.0,12751.39618662605,966656.0
73.11,-1.1200000047683716,78.0,nan,0.0,nan,nan,nan,nan,60.0,15360.0,12959.850978553062,983040.0
76.59,-1.2100000381469727,78.0,nan,0.0,nan,nan,nan,nan,61.0,15616.0,13167.762984627974,999424.0
76.14,-1.350000023841858,78.0,nan,0.0,nan,nan,nan,nan,62.0,15872.0,13375.881849674042,1015808.0
72.13,-1.1399999856948853,77.0,nan,0.0,nan,nan,nan,nan,63.0,16128.0,13586.889199945028,1032192.0
76.06,-1.3899999856948853,76.0,nan,0.0,nan,nan,nan,nan,64.0,16384.0,13800.783950136974,1048576.0
72.85,-1.2899999618530273,77.0,nan,0.0,nan,nan,nan,nan,65.0,16640.0,14012.195484068012,1064960.0
74.23,-1.1699999570846558,77.0,nan,0.0,nan,nan,nan,nan,66.0,16896.0,14222.507521118969,1081344.0
72.92,-0.75,78.0,nan,0.0,nan,nan,nan,nan,67.0,17152.0,14432.208506581024,1097728.0
74.55,-0.8899999856948853,74.0,nan,0.0,nan,nan,nan,nan,68.0,17408.0,14651.16197720496,1114112.0
74.14,-1.309999942779541,76.0,nan,0.0,nan,nan,nan,nan,69.0,17664.0,14864.901031470043,1130496.0
73.51,-1.3700000047683716,76.0,nan,0.0,nan,nan,nan,nan,70.0,17920.0,15078.581774368999,1146880.0
74.08,-0.8199999928474426,74.0,nan,0.0,nan,nan,nan,nan,71.0,18176.0,15297.071862863027,1163264.0
73.22,-0.8299999833106995,75.0,nan,0.0,nan,nan,nan,nan,72.0,18432.0,15513.113172232057,1179648.0
75.66,-1.149999976158142,75.0,nan,0.0,nan,nan,nan,nan,73.0,18688.0,15729.70836183196,1196032.0
73.56,-1.2300000190734863,75.0,nan,0.0,nan,nan,nan,nan,74.0,18944.0,15947.005288342014,1212416.0
74.36,-1.190000057220459,76.0,nan,0.0,nan,nan,nan,nan,75.0,19200.0,16159.881966068991,1228800.0
74.52,-0.9200000166893005,77.0,nan,0.0,nan,nan,nan,nan,76.0,19456.0,16371.294170018984,1245184.0
78.34,-1.0,77.0,nan,0.0,nan,nan,nan,nan,77.0,19712.0,16581.916725491057,1261568.0
73.83,-1.3300000429153442,78.0,nan,0.0,nan,nan,nan,nan,78.0,19968.0,16791.25889338297,1277952.0
77.01,-1.1100000143051147,78.0,nan,0.0,nan,nan,nan,nan,79.0,20224.0,17000.23768343695,1294336.0
